;product;brand;rev_rating;rev_loc;rev_dt
0;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;15 May 2022
1;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;13 May 2022
2;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;11 May 2022
3;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;10 May 2022
4;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;9 May 2022
5;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;7 May 2022
6;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;6 May 2022
7;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;3 May 2022
8;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;2 May 2022
9;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;2 May 2022
10;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;22 April 2022
11;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;22 April 2022
12;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;11 April 2022
13;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;10 April 2022
14;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;8 April 2022
15;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;8 April 2022
16;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;7 April 2022
17;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;1 April 2022
18;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;24 March 2022
19;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;23 March 2022
20;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;21 March 2022
21;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 March 2022
22;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;19 March 2022
23;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;14 March 2022
24;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;14 March 2022
25;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;11 March 2022
26;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;10 March 2022
27;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;8 March 2022
28;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;8 March 2022
29;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;5 March 2022
30;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;1 March 2022
31;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;27 February 2022
32;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 February 2022
33;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 February 2022
34;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;22 February 2022
35;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 February 2022
36;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 February 2022
37;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;21 February 2022
38;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 February 2022
39;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 February 2022
40;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;16 February 2022
41;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;13 February 2022
42;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;10 February 2022
43;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;10 February 2022
44;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;10 February 2022
45;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;8 February 2022
46;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;6 February 2022
47;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;4 February 2022
48;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;4 February 2022
49;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;4 February 2022
50;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;1 February 2022
51;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;29 January 2022
52;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;27 January 2022
53;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 January 2022
54;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 January 2022
55;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;24 January 2022
56;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;24 January 2022
57;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;23 January 2022
58;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;22 January 2022
59;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 January 2022
60;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;18 January 2022
61;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 January 2022
62;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;16 January 2022
63;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;14 January 2022
64;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;13 January 2022
65;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;11 January 2022
66;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;11 January 2022
67;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;9 January 2022
68;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;8 January 2022
69;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;6 January 2022
70;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;6 January 2022
71;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;5 January 2022
72;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;5 January 2022
73;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;5 January 2022
74;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;4 January 2022
75;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;4 January 2022
76;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;3 January 2022
77;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;2 January 2022
78;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;1 January 2022
79;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;31 December 2021
80;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;31 December 2021
81;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;30 December 2021
82;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;29 December 2021
83;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;29 December 2021
84;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;29 December 2021
85;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;28 December 2021
86;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;28 December 2021
87;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;28 December 2021
88;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;27 December 2021
89;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;27 December 2021
90;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 December 2021
91;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;22 December 2021
92;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 December 2021
93;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;21 December 2021
94;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;18 December 2021
95;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;18 December 2021
96;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;17 December 2021
97;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;17 December 2021
98;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 December 2021
99;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 December 2021
100;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 December 2021
101;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;15 December 2021
102;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;13 December 2021
103;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;10 December 2021
104;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;9 December 2021
105;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;8 December 2021
106;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;7 December 2021
