;product;brand;rev_rating;rev_loc;rev_dt
0;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;20 May 2022
1;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;20 May 2022
2;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;France;19 May 2022
3;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;18 May 2022
4;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;Italy;18 May 2022
5;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;16 May 2022
6;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;16 May 2022
7;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Italy;15 May 2022
8;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;14 May 2022
9;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;12 May 2022
10;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;9 May 2022
11;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;Italy;8 May 2022
12;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;5 May 2022
13;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;5 May 2022
14;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;Italy;30 April 2022
15;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;30 April 2022
16;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;30 April 2022
17;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;Italy;30 April 2022
18;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;30 April 2022
19;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;Italy;29 April 2022
20;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;France;29 April 2022
21;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;Italy;27 April 2022
22;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;27 April 2022
23;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;26 April 2022
24;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;25 April 2022
25;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;25 April 2022
26;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;24 April 2022
27;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;24 April 2022
28;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;23 April 2022
29;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Germany;22 April 2022
30;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;22 April 2022
31;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;21 April 2022
32;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;18 April 2022
33;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;18 April 2022
34;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;France;15 April 2022
35;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Germany;13 April 2022
36;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;Italy;11 April 2022
37;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;11 April 2022
38;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;France;11 April 2022
39;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;10 April 2022
40;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;8 April 2022
41;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;7 April 2022
42;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;6 April 2022
43;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;6 April 2022
44;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Italy;5 April 2022
45;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;5 April 2022
46;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;3 April 2022
47;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;Italy;3 April 2022
48;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;1 April 2022
49;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Germany;29 March 2022
50;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;France;28 March 2022
51;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Italy;28 March 2022
52;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;26 March 2022
53;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;26 March 2022
54;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;Italy;26 March 2022
55;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;Italy;25 March 2022
56;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;24 March 2022
57;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;23 March 2022
58;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;23 March 2022
59;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;23 March 2022
60;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;22 March 2022
61;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;21 March 2022
62;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;21 March 2022
63;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;21 March 2022
64;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;20 March 2022
65;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;19 March 2022
66;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;19 March 2022
67;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;19 March 2022
68;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;17 March 2022
69;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;17 March 2022
70;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;17 March 2022
71;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;Italy;17 March 2022
72;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;16 March 2022
73;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;15 March 2022
74;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Germany;15 March 2022
75;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;14 March 2022
76;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;Italy;13 March 2022
77;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;Italy;13 March 2022
