Rank;Name;Rating;n_of_rating;Links
1;Bolsius 8 Hour Burning Tealights, Pack of 50, White, 7x18x32 cm;4.6;16099;/product-reviews/B08QGSSDTT/ref=zg_bs_3028549031_cr_1/260-0749473-1142506?pd_rd_i=B08QGSSDTT
2;Yankee Candle Scented Candle | Berry Mochi Large Jar Candle | Sakura Blossom Festival Collection | Burn Time: Up to 150 Hours | Great for Mother's Day Gifting;4.6;640;/product-reviews/B09XW5ZY4S/ref=zg_bs_3028549031_cr_2/260-0749473-1142506?pd_rd_i=B09XW5ZY4S
3;Zuvo [50 Pack] Tea Light Candles 8 Hour Burn Time White Unscented 3.8Cm x 2.3 cm 23 g (50 Pack), 90126C;4.5;4113;/product-reviews/B08P6BQDP5/ref=zg_bs_3028549031_cr_3/260-0749473-1142506?pd_rd_i=B08P6BQDP5
4;Yankee Candle Wax Melts | Baby Powder | Up to 8 Hours of Fragrance | 1 Count, White;4.5;7520;/product-reviews/B09MV2RK3Y/ref=zg_bs_3028549031_cr_4/260-0749473-1142506?pd_rd_i=B09MV2RK3Y
5;Yankee Candle Tea Light Scented Candles | All is Bright | 12 Count;4.7;28274;/product-reviews/B08HHB4D1C/ref=zg_bs_3028549031_cr_5/260-0749473-1142506?pd_rd_i=B08HHB4D1C
6;Yankee Candle Tea Light Scented Candles | Black Cherry | 12 Count;4.7;36011;/product-reviews/B08HJRY6RN/ref=zg_bs_3028549031_cr_6/260-0749473-1142506?pd_rd_i=B08HJRY6RN
7;Price's Candles Citronella Tealights Pack of 25 (Citronella Range);4.3;4897;/product-reviews/B003VJSCL6/ref=zg_bs_3028549031_cr_7/260-0749473-1142506?pd_rd_i=B003VJSCL6
8;Yankee Candle Fragrance Spheres Air Freshener, Up to 30 Days of Fragrance, Cherry Blossom;4.0;15361;/product-reviews/B08474S49H/ref=zg_bs_3028549031_cr_8/260-0749473-1142506?pd_rd_i=B08474S49H
9;Yankee Candle ScentPlug Fragrance Refills | Black Cherry Plug in Air Freshener Oil | Up to 60 Days of Fragrance | 2 Count;4.5;1795;/product-reviews/B09LVWJLTN/ref=zg_bs_3028549031_cr_9/260-0749473-1142506?pd_rd_i=B09LVWJLTN
10;Yankee Candle Scented Tea Light Candles, Coastal Living, 12 Count, x;4.6;7900;/product-reviews/B09W9DJRFJ/ref=zg_bs_3028549031_cr_10/260-0749473-1142506?pd_rd_i=B09W9DJRFJ
11;Yankee Candle Tea Light Scented Candles | Baby Powder | 12 Count;4.7;12403;/product-reviews/B08HK4LVD3/ref=zg_bs_3028549031_cr_11/260-0749473-1142506?pd_rd_i=B08HK4LVD3
12;Zan Village Homeware Candles/Tealights 4 Hour Burn Time 12g, 50 Pack Shrink Wrapped;4.3;1902;/product-reviews/B08KDB6X6K/ref=zg_bs_3028549031_cr_12/260-0749473-1142506?pd_rd_i=B08KDB6X6K
13;Scented Candles Gifts for Women, 9 Packs 2.5 Oz Aromatherapy Candles 12-15 Hours Burning Time, Natural Soy Wax Tin Jar Relaxing Fragrance Candles Home Decoration for Her, Girl, Valentine's Day;3.9;19;/product-reviews/B09XX937MF/ref=zg_bs_3028549031_cr_13/260-0749473-1142506?pd_rd_i=B09XX937MF
14;Yankee Candle Tea Light Scented Candles | Coconut Rice Cream | 12 Count;4.7;30007;/product-reviews/B08V61M42C/ref=zg_bs_3028549031_cr_14/260-0749473-1142506?pd_rd_i=B08V61M42C
15;Pajoma Tea Lights Unscented White Pack of 100 Burn Time 8 Hours;4.7;4709;/product-reviews/B076DSBQD3/ref=zg_bs_3028549031_cr_15/260-0749473-1142506?pd_rd_i=B076DSBQD3
16;Ikea Bevara Sealing Clip Multicolor, IKEA-Bevara-Clip-Multicolor-1pk;4.7;7223;/product-reviews/B072M3W9MJ/ref=zg_bs_3028549031_cr_16/260-0749473-1142506?pd_rd_i=B072M3W9MJ
17;Yankee Candle Tea Light Scented Candles | Black Coconut | 12 Count;4.7;14437;/product-reviews/B08V5WXHTT/ref=zg_bs_3028549031_cr_17/260-0749473-1142506?pd_rd_i=B08V5WXHTT
18;Autumn Nights Highly Scented Soy Wax Melts - Vegan, Plastic-Free & Highly Scented - 16 Pack;4.3;4650;/product-reviews/B087C4L4V5/ref=zg_bs_3028549031_cr_18/260-0749473-1142506?pd_rd_i=B087C4L4V5
